,customer_number,Cluster,cluster_name
1303,7013,3,Convenience-seeker Buyers
1304,7016,3,Convenience-seeker Buyers
1305,7017,1,Budget Buyers
1306,7019,0,Premium Buyers
1307,7032,0,Premium Buyers
1308,7036,4,Occassional Buyers
1309,7041,1,Budget Buyers
1310,7044,1,Budget Buyers
1311,7046,0,Premium Buyers
1312,7053,0,Premium Buyers
1313,7061,4,Occassional Buyers
1314,7063,4,Occassional Buyers
1315,7064,3,Convenience-seeker Buyers
1316,7067,2,Regular Buyers
1317,7068,0,Premium Buyers
1318,7074,2,Regular Buyers
1319,7077,0,Premium Buyers
1320,7079,0,Premium Buyers
1321,7083,1,Budget Buyers
1322,7091,1,Budget Buyers
1323,7093,1,Budget Buyers
1324,7094,1,Budget Buyers
1325,7104,3,Convenience-seeker Buyers
1326,7110,1,Budget Buyers
1327,7124,1,Budget Buyers
1328,7126,0,Premium Buyers
1329,7127,1,Budget Buyers
1330,7130,1,Budget Buyers
1331,7131,0,Premium Buyers
1332,7132,4,Occassional Buyers
1333,7135,4,Occassional Buyers
1334,7138,1,Budget Buyers
1335,7141,1,Budget Buyers
1336,7145,0,Premium Buyers
1337,7146,1,Budget Buyers
1338,7148,1,Budget Buyers
1339,7150,4,Occassional Buyers
1340,7158,1,Budget Buyers
1341,7161,4,Occassional Buyers
1342,7172,4,Occassional Buyers
1343,7175,3,Convenience-seeker Buyers
1344,7191,2,Regular Buyers
1345,7199,3,Convenience-seeker Buyers
1346,7210,2,Regular Buyers
1347,7219,2,Regular Buyers
1348,7250,3,Convenience-seeker Buyers
1349,7251,1,Budget Buyers
1350,7257,1,Budget Buyers
1351,7263,0,Premium Buyers
1352,7269,1,Budget Buyers
1353,7276,3,Convenience-seeker Buyers
1354,7280,1,Budget Buyers
1355,7289,2,Regular Buyers
1356,7299,0,Premium Buyers
1357,7302,3,Convenience-seeker Buyers
1358,7303,3,Convenience-seeker Buyers
1359,7307,3,Convenience-seeker Buyers
1360,7314,1,Budget Buyers
1361,7329,2,Regular Buyers
1362,7330,0,Premium Buyers
1363,7331,2,Regular Buyers
1364,7334,1,Budget Buyers
1365,7336,3,Convenience-seeker Buyers
1366,7342,3,Convenience-seeker Buyers
1367,7345,2,Regular Buyers
1368,7346,4,Occassional Buyers
1369,7359,1,Budget Buyers
1370,7362,3,Convenience-seeker Buyers
1371,7365,0,Premium Buyers
1372,7368,4,Occassional Buyers
1373,7372,1,Budget Buyers
1374,7379,2,Regular Buyers
1375,7384,2,Regular Buyers
1376,7385,2,Regular Buyers
1377,7386,2,Regular Buyers
1378,7399,0,Premium Buyers
1379,7401,0,Premium Buyers
1380,7405,1,Budget Buyers
1381,7406,2,Regular Buyers
1382,7407,1,Budget Buyers
1383,7414,3,Convenience-seeker Buyers
1384,7418,1,Budget Buyers
1385,7422,4,Occassional Buyers
1386,7428,1,Budget Buyers
1387,7433,1,Budget Buyers
1388,7435,1,Budget Buyers
1389,7436,1,Budget Buyers
1390,7448,1,Budget Buyers
1391,7454,2,Regular Buyers
1392,7458,3,Convenience-seeker Buyers
1393,7460,1,Budget Buyers
1394,7462,3,Convenience-seeker Buyers
1395,7470,1,Budget Buyers
1396,7478,4,Occassional Buyers
1397,7479,0,Premium Buyers
1398,7484,0,Premium Buyers
1399,7494,1,Budget Buyers
1400,7499,1,Budget Buyers
1401,7513,0,Premium Buyers
1402,7516,2,Regular Buyers
1403,7517,1,Budget Buyers
1404,7518,3,Convenience-seeker Buyers
1405,7520,4,Occassional Buyers
1406,7529,3,Convenience-seeker Buyers
1407,7531,0,Premium Buyers
1408,7536,2,Regular Buyers
1409,7538,2,Regular Buyers
1410,7554,1,Budget Buyers
1411,7559,3,Convenience-seeker Buyers
1412,7560,4,Occassional Buyers
1413,7572,1,Budget Buyers
1414,7576,1,Budget Buyers
1415,7587,2,Regular Buyers
1416,7604,3,Convenience-seeker Buyers
1417,7607,3,Convenience-seeker Buyers
1418,7620,4,Occassional Buyers
1419,7621,1,Budget Buyers
1420,7626,2,Regular Buyers
1421,7643,3,Convenience-seeker Buyers
1422,7644,1,Budget Buyers
1423,7650,0,Premium Buyers
1424,7658,3,Convenience-seeker Buyers
1425,7660,3,Convenience-seeker Buyers
1426,7665,0,Premium Buyers
1427,7675,2,Regular Buyers
1428,7683,3,Convenience-seeker Buyers
1429,7699,2,Regular Buyers
1430,7700,3,Convenience-seeker Buyers
1431,7705,1,Budget Buyers
1432,7710,3,Convenience-seeker Buyers
1433,7715,0,Premium Buyers
1434,7726,2,Regular Buyers
1435,7729,2,Regular Buyers
1436,7747,2,Regular Buyers
1437,7756,1,Budget Buyers
1438,7758,0,Premium Buyers
1439,7773,1,Budget Buyers
1440,7782,3,Convenience-seeker Buyers
1441,7789,1,Budget Buyers
1442,7792,0,Premium Buyers
1443,7806,3,Convenience-seeker Buyers
1444,7814,0,Premium Buyers
1445,7816,0,Premium Buyers
1446,7823,2,Regular Buyers
1447,7825,1,Budget Buyers
1448,7830,1,Budget Buyers
1449,7840,0,Premium Buyers
1450,7843,1,Budget Buyers
1451,7849,3,Convenience-seeker Buyers
1452,7855,3,Convenience-seeker Buyers
1453,7874,1,Budget Buyers
1454,7881,3,Convenience-seeker Buyers
1455,7884,0,Premium Buyers
1456,7897,0,Premium Buyers
1457,7903,1,Budget Buyers
1458,7905,1,Budget Buyers
1459,7910,0,Premium Buyers
1460,7914,3,Convenience-seeker Buyers
1461,7944,3,Convenience-seeker Buyers
1462,7955,3,Convenience-seeker Buyers
1463,7957,2,Regular Buyers
1464,7964,0,Premium Buyers
